Manufactor,Year,Model,Hand,Gear,capacity_Engine,Engine_type,Prev_ownership,Curr_ownership,Area,City,Price,Pic_num,Cre_date,Repub_date,Description,Color,Km,Test
אאודי,2012, A1,6,אוטומטית,1400,בנזין,פרטית,פרטית,nan,בוקעתא,43000.0,8,2023-09-25,2023-09-25,"רכב חסכוני, שמור מאוד מטופל בזמן רק במוסך מורשה.
באוטו יש מערכת ניווט, Bluetooth, פנסים S חדשים. האוטו יד שישית אבל עבר שלושה בעלים באותו בית . מוכרת עקב מעבר לA1 חדשה .",לבן,120000,112
אאודי,2012, A1,7,אוטומטית,1400,בנזין,פרטית,פרטית,ירושלים והסביבה,מעלה אדומים,38000.0,2,2023-09-23,2023-09-23,"המחיר עודכן

Audi A1 S-Line 
שנה: 2012
ק״מ: 146,000
מנוע 1400 טורבו
גיר אוטומט
רכב במצב הצגה עם טסט לשנה.
פנסי לד קדימה ואחורה.
סנרוף.
כיסוי הגה עור ואלקנטרה בתפירה.
משענת יד מעור חדשה.
גאנטים מידה 17 ברישיון Oz, קליפרים אדומים.
הרכב עם סטייג 1 מגיע ל-140כ׳ס!!",שחור,146000,82
אאודי,2006, A6,3,אוטומטית,2400,בנזין,פרטית,פרטית,גליל ועמקים,שפרעם,22.0,6,2023-12-06,2024-04-04,None,זהב,346000,
אאודי,2014, A3,2,אוטומטית,1400,בנזין,פרטית,פרטית,קיסריה והסביבה,קיסריה,73000.0,4,2023-07-02,2023-07-02,"במצב מאוד שמור, נהג אחד, הכול חדש ותקין, ללא תאונות (מתחייב בבדיקה - הכול תקין מנוע גיר שלדה) מטופל במוסך אאודי - צ'מפיון מוטורס, ספר טיפולים מלא. ( טסט עד- 04.2024)
גמיש מעט לרציניים.",שחור,185000,
אאודי,2006, A3,4,טיפטרוניק,2000,בנזין,פרטית,פרטית,"ראשל""צ והסביבה",ראשון לציון,38000.0,8,2023-05-06,2023-05-06,"רכב שנת 2006 שמור בצורה יוצאת דופן שנראה ונוסע כמו 2023 ברמת הבורג.
כל הגומיות ברכב החלפו כל הריפודים הגג והפלסטיקה חדשים מקורי כמובן רכב נקי ללא תאונות או החלפות חלקים הכל תקין ועובד ואין שום דבר שבור או שרוט או קרוע
מנוע 2000 טורבו tfsi גיר dsg 6 dq250 
מעל 280 כוח סטייג 2 ✅
אנטי רולים kw ✅
קיט יניקה סומוטה ✅
קפיצים הנמכה eibach ✅
צמיגים r888✅
גנטים rs3 מידה 18✅
מערכת אנדרואיד הכי מתקדמת שיש מתאימה לאודי a3 עם חיבור למחשב של הרכב✅",שחור,227000,
אאודי,2016, A3,3,אוטומטית,1800,בנזין,פרטית,פרטית,ירושלים והסביבה,ירושלים,86500.0,4,2023-04-23,2023-04-30,"אאודי A3 🛩️
מנוע 1.8T😈
שנת ייצור 2016 שארפ💪🏻
טסט עד 21/09/2023✅
הרכב נסע 118K🏎️
יד 03 🤝
גג פנורמי🌞
על הרכב יש קידודים לפנסים וקידודים בפנים הרכב ✅
תוכנה סטייג 1 PCP 🐎
הרכב עומד 250 כוח 🏇
הרכב מטופל כל 5k 🛠️
 הרכב אחרי טיפול החלפת שמנים פילטרים פילטר מזגן ו4 רפידות 🛠️
לפרטים אלחנן 0527527567",לבן,118000,
אאודי,2020, A3,1,טיפטרוניק,1500,בנזין,פרטית,פרטית,בקעת אונו,קרית אונו,175000.0,9,2023-04-02,2023-04-02,"אודי a3 ספורטבק מדגם sharp עם חבילת s-line כולל את כל התוספות האפשריות. 
רק 15 אלף קילומטר,רכב שמור כמו חדש החונה רק בחנייה פרטית ומטופל רק בחברה. כולל הגה S וציפוי PPF שקוף על כל הרכב.",לבן פנינה,15500,
אאודי,2022, A1,1,אוטומטית,1500,בנזין,פרטית,פרטית,nan,באקה,180000.0,10,2023-03-31,2023-03-31,"למכירה 
אודי A1 2022 יד 00 נהגת יחידה 
דגם comfort style הכי מפוארת שיש 
מנוע 1.5 TSI 
150 כ״ס 
נסע 22,000 ק״מ 
ללא תיקוני צבע 
מטופל אך ורק בחברה
מתחייב בבדיקה גיר שלדה מנוע
דרוש 180,000₪ גמיש לרצניים 
הקודם זוכה",לבן מטאלי,22000,
אאודי,2009, A3,5,אוטומטית,1800,בנזין,פרטית,פרטית,nan,בית ג'ן,35.0,4,2023-02-21,2023-02-21,None,שחור,110,
אאודי,2021, 100,1,אוטומטית,1500,בנזין,פרטית,פרטית,אילת והערבה,אילת,123.0,4,2023-01-30,2023-01-30,"Audi Q3!!!
חודש עליה לכביש 07
ללא תאונות ללא תיקוני צבע!!
נקנה יד 00 ישירות מהחברה!!!
הרכב נסע 25 אלף ק""מ נהג יחיד
דגם מאובזר חבילת קומפורט טק-פק!!
הרכב עבר ציפוי נאנו קרמי מורחב",לבן,25000,
אאודי,2020, A3,2,אוטומטית,1500,בנזין,פרטית,פרטית,נתניה והסביבה,נתניה,135000.0,5,2023-01-16,2023-01-16,"טסט עד 1.24 ללא תאונות , מתחייב לבדיקה 
ללא עבר ביטוחי 
איתורן 
מטופל רק במוסך מורשה של אאודי
יש היסטורית טיפולים",לבן,44000,
אאודי,2017, TT,3,אוטומטית,2000,בנזין,פרטית,פרטית,ירושלים והסביבה,מעלה אדומים,199990.0,9,2023-01-09,2023-01-09,"לרציניים בלבד!
האודי TT Quattro roadster 
רכב יחיד מסוגו, ישנם בארץ כמה בודדים בלבד.
דגם roadster גג נפתח, 
דגם משודרג
 מנוע 2000
מושבים מעור
מצבר חדש ( הוחלף ב1/1/23)
הגה r8 בשווי 12499 שח
ספוילר אלקטרוני נפתח ונסגר + אור לד אדום בשווי 9590 שח
(לא מותקן) מפתח רכב אלקטרוני בשווי 2750 שח
מערכת מדיה אלקטרונית הכוללת מסך + מצלמות 360 + חיישן תזוזה + אפשרות לחיבור כרטיס סים.",לבן,12000,
אאודי,2018, 100,1,אוטומטית,1400,בנזין,פרטית,פרטית,באר שבע והסביבה,עומר,159000.0,7,2022-12-11,2022-12-25,"דגם Q3, S-Line, צבע שחור מטאלי. גג נפתח, ריפודי עור, תא מטען נפתח חשמלי, מערכת התראות סטיה מהנתיב, מערכת התראות שטח ״מת״, מערכת התראות התנגשות, איתורן, Waze מובנה.",שחור,37000,
אאודי,2016, A1,2,אוטומטית,1000,בנזין,השכרה,פרטית,נתניה והסביבה,נתניה,60000.0,3,2022-11-23,2022-11-23,"תוספות
				חיישני רוורס, מערכת מולטימדיה",לבן שנהב,133000,
אאודי,2001, A4,2,אוטומטית,1800,בנזין,פרטית,פרטית,באר שבע והסביבה,אופקים,9000.0,4,2022-09-25,2022-11-08,"רכב בעלות פרטית. מצב חיצוני שמור. עם חלון גג נפתח אוטומט. מערכת טלפון . טסטס ל 12 חודשיים שלמים
אני מאופקים אפשרות למכירה בשלמות או לחלקים חילוף.",כסוף מטאלי,235000,
אאודי,2009, A5,2,אוטומטית,2000,בנזין,,,רמת השרון - הרצליה,הרצליה,65000.0,1,2022-11-02,2022-11-02,"רכב במצב מצוין נראה חדש טסט לשנה עבר טיפול כללי ,צמיגים חדשים. מצבר חדש, והוחלפו צלבים ברכב.",nan,85000,
אאודי,2014, Q3,2,אוטומטית,1500,בנזין,,,רמת גן - גבעתיים,רמת גן,79000.0,1,2022-10-27,2022-10-27,רכב מדהים ללא תאונות,nan,80000,
אאודי,2012, A3,5,אוטומטית,1800,בנזין,,,אשדוד - אשקלון,אשדוד,50000.0,1,2022-10-21,2022-10-21,"למכירה בעקבות רילוקיישן, 
לא מעוניין בהחלפה!

אודי A3 2012 דגם Sharp!!
מנוע 1.8 TFSI
יד 5
גיר DSG 7
ק""מ 107,000
צלחות מחוררות Brembo כולל רפידות Brembo 
כרגע עם תוכנת מנוע וגיר Stage 2 של PCP
דאון פייפ 
כוילים R8
קפיצי הנמכה (המקוריים ינתנו לקונה)
גאנטים הוגדלו ל18 - מאושר ברישיון
מתודלק 98 בלבד!
מטופלת כל 7000 קמ",nan,107000,
אאודי,2020, A4,2,אוטומטית,2000,בנזין,,,"ראשל""צ והסביבה",ראשון לציון,225000.0,1,2022-10-19,2022-10-19,רכב חדש לגמרי אותו ששמור נהוגה על ידי אישה ארבעה צמיגים חדשים טסט לשנה &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; קאר פליי ואטוראן,nan,,
אאודי,2016, RS3,2,אוטומטית,2500,בנזין,,,nan,מג׳אר,250000.0,1,2022-10-17,2022-10-17,None,nan,2500,
אאודי,2013, Q3,2,אוטומטית,1984,בנזין,,,nan,ירכא,70000.0,1,2022-10-16,2022-10-16,שמור מאד נהג יחיד..נמכר עכב מעבר לחדש &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; מושבי עור לבן..כוונון מושבים חשמלי..גג פנוראמי ..מאד שמור פנים,nan,130000,
אאודי,2016, A3,2,אוטומטית,1400,בנזין,,,nan,בית ג'ן,,1,2022-10-15,2022-10-15,"רכב הכי שמור שיש , מתחייב על כל בורג שיש, חבילת s-line מהחברה ,מטופל בזמן עם כל התוספות האפשריות גג פנורמי הנעה ללא מפתיח ועוד… 

 &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; חבילת S-line",nan,100000,
אאודי,2020, A4,1,אוטומטית,2000,בנזין,,,הוד השרון והסביבה,הוד השרון,225000.0,1,2022-10-14,2022-10-14,"דגם Advance 
190 כ״ס. 
 רכב במצב חדש. ריפודי עור בצבע וויסקי. כולל כל
 המערכות המתקדמות

עליה לכביש באוגוסט 2020",nan,41000,
אאודי,2018, A1,2,אוטומטית,999,בנזין,,,רמת גן - גבעתיים,בני ברק,,1,2022-10-04,2022-10-04,"אאודי A1 מדהימה ביופיה,עוצרת נשימה,סופר מיני מושלם ויוקרתי,טופל במורשה בלבד!ללא תאונות עם עבר ביטוחי נקי,מערכת מולטימדיה מקורית,סאן רוף,קרוז קונטרול,שליטה מלאה מההגה,כל התוספות,גלגלי מגנזיום,שמור בקנאות! הדגם המפואר,5 דלתות!אפשר להפסיק לחפש ""ענק הטרייד אין"" רכבים לאחר בדיקה בלבד! אצלנו הרכבים עוברים בדיקה במכון מורשה! היסטוריית טיפולים שקיפות מלאה, תנאי מימון נוחים הוראת קבע \אשראי\צ'קים לא בשבת
 &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; מצלמת רוורס ומולטימדיה גלגלי מגנזיום",nan,40000,
אאודי,2022, Q3,1,אוטומטית,1498,בנזין,,,כרמיאל והסביבה,כרמיאל,250000.0,1,2022-09-27,2022-09-27,שמור מאוד,nan,10000,
אאודי,2018, A3,2,טיפטרוניק,1600,בנזין,,,כרמיאל והסביבה,כרמיאל,155000.0,1,2022-09-24,2022-09-24,"רכב חדש לחלוטין ללא תיקוני צבע שמור מאוד נהג יחיד
כל התוספות מקוריות גג פנוראמי 
חישנים ומצלמות",nan,80000,
אאודי,2021, A1,1,אוטומטית,1498,בנזין,,,פתח תקוה והסביבה,פתח תקווה,168000.0,1,2022-09-23,2022-09-23,"אאודי A1 Sportback Comfort 35 TFSI 
2021
עליה לכביש 03/2021 
יד ראשונה
אוטומט
5 דלתות
שחור מטלי/שחור
נפח מנוע 1498
כוח סוס 150
קילומטראז׳ 15,000 
כל התוספות קיימות
מטופלת בצ׳מפיון , אחריות עד מרץ 2024 
לא עברה תאונה / ללא שריטות / ללא מכות
הרכב נמכר עקב מעבר לחול",nan,15000,
אאודי,2017, A3,3,אוטומטית,2000,בנזין,,,"ראשל""צ והסביבה",ראשון לציון,133000.0,1,2022-09-22,2022-09-22,"בצער רב מוכר את הרכב עקב קבלת רכב מהעבודה רכב שמור מאוד במצב מצוין ומטופל! קילומטראז׳ נמוך דגם שארפ מנוע 2000 הרכב חזק מאוד! המון תוספות מהחברה &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; גג פנורמי, מושבי S! , חמישה מצבי נהיגה, מצלמת רוורס, חיישני רוורס, גלגלי מגנזיום, מערכת שמע של bang&amp;olufsen מהחברה! התנעה בכפתור וכניסה ללא מפתח",nan,68000,
אאודי,2018, A7,3,אוטומטית,2000,בנזין,פרטית,פרטית,חיפה וחוף הכרמל,חיפה,260000.0,6,2022-09-21,2022-09-21,"דגם 2.0l limited 4*4 256 כוח סוס
42000 קילו מטר מצב תצוגה מתחייב על כל בורג",לבן פנינה,42000,
אאודי,2017, A3,3,אוטומטית,2000,בנזין,פרטית,פרטית,"ראשל""צ והסביבה",ראשון לציון,133000.0,10,2022-09-18,2022-09-18,מוכר את הרכב עקב קבלת רכבת מהעבודה רכב שמור מאוד במצב מצוין ומטופל מי שרוצה חווית נהיגה אז זה הרכב,שחור,68000,
אאודי,2019, All Road,2,טיפטרוניק,1600,היברידי,,,חיפה וחוף הכרמל,חיפה,95000.0,1,2022-09-17,2022-09-17,רכב שמור ומטופל בחברה עם ספר רכב .לרצינים בלבד ולמהירי החלטה ומתחייב בבדיקה,nan,140000,
